嘉義縣電動機車充電站一覽表,,,,,
108.10更新,,,,,
序號,鄉鎮,單　　位,電話,地　　址,設置位置
1,大林鎮,大林鎮民代表會,2652133,大林鎮中興路二段237號,代表會側邊牆壁
2,,泰峰車業有限公司,2652408,大林鎮西林里中正路428號,店外牆壁上
3,中埔鄉,國利機車行,2531404,中埔鄉同仁村161-2號,店外柱子上
4,,正大機車行,2390120,中埔鄉和睦村中山路五段403號,店外柱子上
5,,阿財車業行,2391215,中埔鄉和睦村中山路五段723號,外面柱子櫃子內
6,,永興車業行,2534092,中埔鄉隆興村十字路130號1樓,店外牆壁上
7,六腳鄉,一安機車行,3781357,六腳鄉六腳村六腳26號,店外柱子上
8,,東峰機車行,3793312,六腳鄉正義村下雙溪168號,店外牆壁上
9,,隆乙機車行,3803222,六腳鄉蒜東村蒜頭294-6號,店外牆壁上
10,太保市,新偉車業有限公司,3712898,太保市銘泰新村1號,店外柱子上
11,水上鄉,永新機車行,2351465,水上鄉寬士村崎子頭172號,店外牆壁上
12,,昇興機車行,2684688,水上鄉柳林村柳子林49號之10,店外牆壁上
13,布袋鎮,布袋鎮公所,3475975,布袋鎮自由路2號,調解會旁之車棚
14,民雄鄉,民雄鄉公所,2262101#231,民雄鄉文化路7號,後面機車棚鐵柱上(左)
15,,民雄鄉公所,2262101#231,民雄鄉文化路7號,後面機車棚鐵柱上(右)
16,,東新車業有限公司,2262575,民雄鄉建國路二段340號,店外柱子上
17,,明新車業,2207966,民雄鄉北斗村北勢子73之47號,店外柱子上
18,,泰源機車行,2268652,民雄鄉東榮村文化路26-35號,店外牆壁上
19,,三泰機車有限公司,2217161,民雄鄉福樂村建國路3段118號,店外牆壁上
20,朴子市,宗泰機車行,3793262,朴子市向榮路46號,店內牆壁上
21,,成邑有限公司,3700626,朴子市內厝里北通路67號,店內牆壁上
22,,崑發機車行,3797777,朴子市竹圍里南通路三段575號,右前側柱子上(光陽交換站)
23,,文欽機車行,3798269,朴子市大同路174號,店外牆壁上
24,竹崎鄉,順達機車行,2612449,竹崎鄉和平村坑仔坪159號,左側牆壁上(光陽交換站)
25,東石鄉,東石鄉公所,3732201,東石鄉東石村3號,鄉公所後面車棚
26,,吉冠機車行,3733066,東石鄉東石村11鄰東石5號,店外牆壁上
27,鹿草鄉,嘉明車業有限公司,3752329,鹿草鄉西井村鹿草548號,店內牆壁上
28,番路鄉,厚吉機車行,2591289,番路鄉下坑村8鄰下坑36之1號,右側車棚鐵柱
29,新港鄉,台塑新港工業區,3772111#215,新港鄉中洋村中洋工業區1號,大門地下停車場
30,,台塑新港工業區,3772111#215,新港鄉中洋村中洋工業區1號,工業區右後方機車停車場
31,,台塑新港工業區,3772111#215,新港鄉中洋村中洋工業區1號,工業區左後方機車停車場
32,,台塑新港工業區,3772111#215,新港鄉中洋村中洋工業區1號,大門地下停車場
33,,昇振車業有限公司,3742320,新港鄉宮後村新民路121號,店內柱子上
34,,永光機車行,3742273,新港鄉宮前村文昌街11號,右側牆壁上
35,溪口鄉,溪口鄉公所,2695950#66,溪口鄉溪東村中山路127號,鄉公所左側門旁之牆壁
36,義竹鄉,義竹鄉公所,3411312#301,義竹鄉仁里村389號,公所旁之牆壁
37,,輝龍車業有限公司,3412625,義竹鄉六桂村義竹170-1號,店外柱子上
38,,英展機車行,3412262,義竹鄉傳芳村474-29號,店外牆壁上
