"daytype","station","tel","location","opening_hours","local_lady_anhour","local_lady_2hr","local_lady_6hr","local_drllr_anhour","local_drllr_2hr","local_drllr_6hr","local_tandem_anhour","local_tandem_2hr","local_tandem_6hr","dif_rental_lady_4h","dif_rental_drllr_4h","dif_rental_tandem_4h","dif_rental_lady_4up","dif_rental_drllr_4up","dif_rental_tandem_4up"
"全日","八里站","02-8630-5530","八里左岸公園內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","成蘆站","02-8978-5600","蘆洲成蘆橋下","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","二重站","02-8982-7848","二重疏洪親水公園內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","淡水站","02-8978-5108","淡水捷運站後方廣場","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","陽光站","02-8978-5602","新店陽光運動園區內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","華江站","02-2259-5499","板橋華江橋下河濱公園內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","浮洲站","02-8978-5607","板橋浮洲橋下河濱公園內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","永和站","02-2922-1750","永和中正橋下河濱公園內","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","碧潭站","02-8911-8854","新店碧潭風景區東岸","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"全日","新月站","02-8978-5603","新莊新月橋引道旁","每週週一至週日
假日（週末及國定假日）:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息
非假日（星期一至星期五）:
冬令：08:00~18:00
夏令：08:00~19:00
中午休息12:00~14:00","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"假日","龍形站","02-2618-5788","八里龍米路一段386巷7號旁","週末及國定假日:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"假日","鹿角溪站","0910-076-921","樹林鹿角溪人工濕地旁","週末及國定假日:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"假日","忠孝站","02-8978-5606","三重忠孝橋下","週末及國定假日:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"假日","汐止站","02-8978-7367","成中抽水站防汛道路旁
（近汐止國泰醫院後方）","週末及國定假日:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
"假日","三鶯站","0933-787-500","鶯歌龍窯橋尾端","週末及國定假日:
冬令：08:00~19:00
夏令：08:00~20:00
中午不休息","15/25","30/50","80/130","40.0","60.0","160.0","60.0","90.0","260.0","150.0","150.0","250.0","240.0","240.0","340.0"
